transaction_id,employee_id,punch_datetime,device_no,status,mandt,P_Day,ISManual,data_flag,record_datetime
9992227,13000075,2023-12-08T00:34:45,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992228,13000031,2023-12-08T00:35:00,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992229,13991423,2023-12-08T00:35:12,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992230,13000031,2023-12-08T08:57:55,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992231,13000764,2023-12-08T09:28:12,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992232,13000075,2023-12-08T09:29:01,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992233,13000757,2023-12-08T09:51:37,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992234,13000735,2023-12-08T09:51:40,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992235,13000023,2023-12-08T09:51:49,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992236,13000085,2023-12-08T09:57:01,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992237,13000758,2023-12-08T09:57:21,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992238,13000753,2023-12-08T10:05:46,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992239,13000751,2023-12-08T10:09:22,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992240,13000760,2023-12-08T10:09:25,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992241,13991461,2023-12-08T10:09:34,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992242,13991462,2023-12-08T10:09:41,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992243,13991463,2023-12-08T10:09:49,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992244,13000763,2023-12-08T10:10:17,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992245,13000583,2023-12-08T10:11:06,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992246,13991375,2023-12-08T10:12:23,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992247,13000759,2023-12-08T11:06:39,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992248,13000722,2023-12-08T11:08:11,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992249,13991430,2023-12-08T11:12:30,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992250,13991446,2023-12-08T11:12:35,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992251,13000672,2023-12-08T11:12:41,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992252,13000585,2023-12-08T11:13:10,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992253,13991447,2023-12-08T11:13:26,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992254,13000748,2023-12-08T11:13:31,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992255,13991387,2023-12-08T11:15:42,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992256,13000427,2023-12-08T11:15:47,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992257,13000679,2023-12-08T12:41:56,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992258,13991460,2023-12-08T12:56:31,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992259,13991460,2023-12-08T12:56:41,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992260,13991460,2023-12-08T12:56:47,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992261,13000321,2023-12-08T13:02:23,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992262,13000393,2023-12-08T13:03:01,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992263,13000756,2023-12-08T13:17:19,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992264,13000761,2023-12-08T13:18:44,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992265,13991423,2023-12-08T13:33:52,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992266,13000731,2023-12-08T14:02:50,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992267,13991307,2023-12-08T14:02:54,27,01,300,N,N,API,2023-12-15 11:36:57.819639
